version,topology,query_type,index_size,timeout_ms,iter,observed_ms,timed_out,error
old,sa,SEARCH,100000,500,10,120.961,0,
old,sa,SEARCH,100000,500,11,127.189,0,
old,sa,SEARCH,100000,500,12,120.265,0,
old,sa,SEARCH,100000,500,13,120.092,0,
old,sa,SEARCH,100000,500,14,120.268,0,
old,sa,SEARCH,100000,500,15,120.348,0,
old,sa,SEARCH,100000,500,16,121.026,0,
old,sa,SEARCH,100000,500,17,121.517,0,
old,sa,SEARCH,100000,500,18,120.209,0,
old,sa,SEARCH,100000,500,19,119.748,0,
old,sa,SEARCH,100000,500,20,128.107,0,
old,sa,SEARCH,100000,500,21,121.225,0,
old,sa,SEARCH,100000,500,22,119.093,0,
old,sa,SEARCH,100000,500,23,117.904,0,
old,sa,SEARCH,100000,500,24,116.773,0,
old,sa,SEARCH,100000,500,25,118.385,0,
old,sa,SEARCH,100000,500,26,115.074,0,
old,sa,SEARCH,100000,500,27,116.282,0,
old,sa,SEARCH,100000,500,28,117.095,0,
old,sa,SEARCH,100000,500,29,120.526,0,
old,sa,SEARCH,100000,500,30,126.038,0,
old,sa,SEARCH,100000,500,31,119.442,0,
old,sa,SEARCH,100000,500,32,118.989,0,
old,sa,SEARCH,100000,500,33,120.491,0,
old,sa,SEARCH,100000,500,34,119.521,0,
old,sa,SEARCH,100000,500,35,117.421,0,
old,sa,SEARCH,100000,500,36,118.700,0,
old,sa,SEARCH,100000,500,37,117.717,0,
old,sa,SEARCH,100000,500,38,117.763,0,
old,sa,SEARCH,100000,500,39,124.907,0,
old,sa,SEARCH,100000,500,40,120.419,0,
old,sa,SEARCH,100000,500,41,120.786,0,
old,sa,SEARCH,100000,500,42,118.713,0,
old,sa,SEARCH,100000,500,43,118.656,0,
old,sa,SEARCH,100000,500,44,119.259,0,
old,sa,SEARCH,100000,500,45,119.854,0,
old,sa,SEARCH,100000,500,46,120.204,0,
old,sa,SEARCH,100000,500,47,121.083,0,
old,sa,SEARCH,100000,500,48,121.255,0,
old,sa,SEARCH,100000,500,49,128.364,0,
old,sa,SEARCH,100000,1000,0,121.021,0,
old,sa,SEARCH,100000,1000,1,119.956,0,
old,sa,SEARCH,100000,1000,2,120.901,0,
old,sa,SEARCH,100000,1000,3,121.701,0,
old,sa,SEARCH,100000,1000,4,120.966,0,
old,sa,SEARCH,100000,1000,5,120.309,0,
old,sa,SEARCH,100000,1000,6,120.770,0,
old,sa,SEARCH,100000,1000,7,119.811,0,
old,sa,SEARCH,100000,1000,8,127.078,0,
old,sa,SEARCH,100000,1000,9,120.380,0,
old,sa,SEARCH,100000,1000,10,120.529,0,
old,sa,SEARCH,100000,1000,11,120.885,0,
old,sa,SEARCH,100000,1000,12,119.759,0,
old,sa,SEARCH,100000,1000,13,120.649,0,
old,sa,SEARCH,100000,1000,14,122.235,0,
old,sa,SEARCH,100000,1000,15,120.954,0,
old,sa,SEARCH,100000,1000,16,121.225,0,
old,sa,SEARCH,100000,1000,17,118.877,0,
old,sa,SEARCH,100000,1000,18,127.725,0,
old,sa,SEARCH,100000,1000,19,121.623,0,
old,sa,SEARCH,100000,1000,20,118.996,0,
old,sa,SEARCH,100000,1000,21,120.870,0,
old,sa,SEARCH,100000,1000,22,121.036,0,
old,sa,SEARCH,100000,1000,23,121.572,0,
old,sa,SEARCH,100000,1000,24,120.586,0,
old,sa,SEARCH,100000,1000,25,119.658,0,
