version,topology,query_type,index_size,timeout_ms,n,timeout_frac,observed_mean_ms,observed_p50_ms,observed_p95_ms,observed_p99_ms,observed_max_ms,server_mean_ms,server_overshoot_mean_ms,overshoot_mean_ms,overshoot_p50_ms,overshoot_p95_ms,overshoot_p99_ms,overshoot_max_ms
old,cluster7,AGGREGATE,100000,500,50,0.000,561.08,556.47,589.78,613.41,613.41,133.64,0.00,61.08,56.47,89.78,113.41,113.41
old,cluster7,HYBRID,100000,100,50,0.000,4.67,4.82,5.29,5.61,5.61,4.23,0.00,0.00,0.00,0.00,0.00,0.00
old,cluster7,HYBRID,100000,1000,50,0.000,6.05,5.17,9.78,10.16,10.16,5.61,0.00,0.00,0.00,0.00,0.00,0.00
old,cluster7,HYBRID,100000,2000,50,0.000,4.34,4.23,5.20,5.35,5.35,3.94,0.00,0.00,0.00,0.00,0.00,0.00
old,cluster7,HYBRID,100000,50,50,0.000,4.88,4.77,6.75,8.28,8.28,4.47,0.00,0.00,0.00,0.00,0.00,0.00
old,cluster7,HYBRID,100000,500,50,0.000,4.32,4.32,4.86,5.20,5.20,3.92,0.00,0.00,0.00,0.00,0.00,0.00
old,cluster7,SEARCH,100000,100,50,1.000,126.84,127.01,134.44,141.89,141.89,126.49,26.49,26.84,27.01,34.44,41.89,41.89
old,cluster7,SEARCH,100000,1000,50,0.000,146.48,147.19,153.40,158.87,158.87,145.38,0.00,0.00,0.00,0.00,0.00,0.00
old,cluster7,SEARCH,100000,2000,50,0.000,146.07,146.71,155.18,157.12,157.12,145.00,0.00,0.00,0.00,0.00,0.00,0.00
old,cluster7,SEARCH,100000,50,50,1.000,121.04,122.08,138.16,284.04,284.04,120.72,70.72,71.04,72.08,88.16,234.04,234.04
old,cluster7,SEARCH,100000,500,50,0.000,148.01,147.95,157.12,162.01,162.01,146.97,0.00,0.00,0.00,0.00,0.00,0.00
old,sa,AGGREGATE,10000,1,50,1.000,10.15,9.78,12.99,17.88,17.88,10.04,9.04,9.15,8.78,11.99,16.88,16.88
old,sa,AGGREGATE,10000,10,50,0.620,29.21,14.63,55.78,61.78,61.78,13.66,3.66,19.21,4.63,45.78,51.78,51.78
old,sa,AGGREGATE,10000,2,50,1.000,9.98,9.94,10.57,10.60,10.60,9.73,7.73,7.98,7.94,8.57,8.60,8.60
old,sa,AGGREGATE,10000,20,50,0.000,58.38,58.75,64.72,64.97,64.97,18.29,0.00,38.38,38.75,44.72,44.97,44.97
old,sa,AGGREGATE,10000,5,50,1.000,9.89,9.84,10.46,10.57,10.57,9.65,4.65,4.89,4.84,5.46,5.57,5.57
old,sa,AGGREGATE,10000,50,50,0.000,58.22,57.64,63.74,65.68,65.68,18.07,0.00,8.22,7.64,13.74,15.68,15.68
