version,topology,query_type,index_size,timeout_ms,iter,observed_ms,timed_out,error,server_mean_ms
old,sa,AGGREGATE,10000,1,0,17.882,1,Timeout limit was reached,10.038
old,sa,AGGREGATE,10000,1,1,13.769,1,Timeout limit was reached,10.038
old,sa,AGGREGATE,10000,1,2,12.902,1,Timeout limit was reached,10.038
old,sa,AGGREGATE,10000,1,3,12.986,1,Timeout limit was reached,10.038
old,sa,AGGREGATE,10000,1,4,10.456,1,Timeout limit was reached,10.038
old,sa,AGGREGATE,10000,1,5,10.525,1,Timeout limit was reached,10.038
old,sa,AGGREGATE,10000,1,6,9.808,1,Timeout limit was reached,10.038
old,sa,AGGREGATE,10000,1,7,9.840,1,Timeout limit was reached,10.038
old,sa,AGGREGATE,10000,1,8,9.778,1,Timeout limit was reached,10.038
old,sa,AGGREGATE,10000,1,9,9.946,1,Timeout limit was reached,10.038
old,sa,AGGREGATE,10000,1,10,9.417,1,Timeout limit was reached,10.038
old,sa,AGGREGATE,10000,1,11,9.681,1,Timeout limit was reached,10.038
old,sa,AGGREGATE,10000,1,12,9.795,1,Timeout limit was reached,10.038
old,sa,AGGREGATE,10000,1,13,10.001,1,Timeout limit was reached,10.038
old,sa,AGGREGATE,10000,1,14,9.478,1,Timeout limit was reached,10.038
old,sa,AGGREGATE,10000,1,15,9.853,1,Timeout limit was reached,10.038
old,sa,AGGREGATE,10000,1,16,9.846,1,Timeout limit was reached,10.038
old,sa,AGGREGATE,10000,1,17,10.040,1,Timeout limit was reached,10.038
old,sa,AGGREGATE,10000,1,18,9.492,1,Timeout limit was reached,10.038
old,sa,AGGREGATE,10000,1,19,9.779,1,Timeout limit was reached,10.038
old,sa,AGGREGATE,10000,1,20,9.934,1,Timeout limit was reached,10.038
old,sa,AGGREGATE,10000,1,21,10.083,1,Timeout limit was reached,10.038
old,sa,AGGREGATE,10000,1,22,9.591,1,Timeout limit was reached,10.038
old,sa,AGGREGATE,10000,1,23,9.711,1,Timeout limit was reached,10.038
old,sa,AGGREGATE,10000,1,24,9.739,1,Timeout limit was reached,10.038
old,sa,AGGREGATE,10000,1,25,10.091,1,Timeout limit was reached,10.038
old,sa,AGGREGATE,10000,1,26,9.466,1,Timeout limit was reached,10.038
old,sa,AGGREGATE,10000,1,27,9.710,1,Timeout limit was reached,10.038
old,sa,AGGREGATE,10000,1,28,9.585,1,Timeout limit was reached,10.038
old,sa,AGGREGATE,10000,1,29,10.041,1,Timeout limit was reached,10.038
old,sa,AGGREGATE,10000,1,30,9.405,1,Timeout limit was reached,10.038
old,sa,AGGREGATE,10000,1,31,9.733,1,Timeout limit was reached,10.038
old,sa,AGGREGATE,10000,1,32,9.751,1,Timeout limit was reached,10.038
old,sa,AGGREGATE,10000,1,33,10.072,1,Timeout limit was reached,10.038
old,sa,AGGREGATE,10000,1,34,9.690,1,Timeout limit was reached,10.038
old,sa,AGGREGATE,10000,1,35,9.685,1,Timeout limit was reached,10.038
old,sa,AGGREGATE,10000,1,36,9.749,1,Timeout limit was reached,10.038
old,sa,AGGREGATE,10000,1,37,10.139,1,Timeout limit was reached,10.038
old,sa,AGGREGATE,10000,1,38,9.508,1,Timeout limit was reached,10.038
old,sa,AGGREGATE,10000,1,39,9.732,1,Timeout limit was reached,10.038
old,sa,AGGREGATE,10000,1,40,9.817,1,Timeout limit was reached,10.038
old,sa,AGGREGATE,10000,1,41,10.032,1,Timeout limit was reached,10.038
old,sa,AGGREGATE,10000,1,42,9.616,1,Timeout limit was reached,10.038
old,sa,AGGREGATE,10000,1,43,9.729,1,Timeout limit was reached,10.038
old,sa,AGGREGATE,10000,1,44,9.449,1,Timeout limit was reached,10.038
old,sa,AGGREGATE,10000,1,45,9.817,1,Timeout limit was reached,10.038
old,sa,AGGREGATE,10000,1,46,9.359,1,Timeout limit was reached,10.038
old,sa,AGGREGATE,10000,1,47,9.530,1,Timeout limit was reached,10.038
old,sa,AGGREGATE,10000,1,48,9.462,1,Timeout limit was reached,10.038
old,sa,AGGREGATE,10000,1,49,9.848,1,Timeout limit was reached,10.038
old,sa,AGGREGATE,10000,2,0,9.274,1,Timeout limit was reached,9.730
old,sa,AGGREGATE,10000,2,1,9.550,1,Timeout limit was reached,9.730
old,sa,AGGREGATE,10000,2,2,9.424,1,Timeout limit was reached,9.730
old,sa,AGGREGATE,10000,2,3,9.896,1,Timeout limit was reached,9.730
old,sa,AGGREGATE,10000,2,4,9.348,1,Timeout limit was reached,9.730
old,sa,AGGREGATE,10000,2,5,9.718,1,Timeout limit was reached,9.730
old,sa,AGGREGATE,10000,2,6,9.530,1,Timeout limit was reached,9.730
old,sa,AGGREGATE,10000,2,7,10.458,1,Timeout limit was reached,9.730
old,sa,AGGREGATE,10000,2,8,9.665,1,Timeout limit was reached,9.730
old,sa,AGGREGATE,10000,2,9,10.132,1,Timeout limit was reached,9.730
old,sa,AGGREGATE,10000,2,10,9.959,1,Timeout limit was reached,9.730
old,sa,AGGREGATE,10000,2,11,10.569,1,Timeout limit was reached,9.730
old,sa,AGGREGATE,10000,2,12,9.831,1,Timeout limit was reached,9.730
old,sa,AGGREGATE,10000,2,13,10.079,1,Timeout limit was reached,9.730
old,sa,AGGREGATE,10000,2,14,9.905,1,Timeout limit was reached,9.730
old,sa,AGGREGATE,10000,2,15,10.601,1,Timeout limit was reached,9.730
old,sa,AGGREGATE,10000,2,16,9.943,1,Timeout limit was reached,9.730
old,sa,AGGREGATE,10000,2,17,10.160,1,Timeout limit was reached,9.730
old,sa,AGGREGATE,10000,2,18,9.947,1,Timeout limit was reached,9.730
old,sa,AGGREGATE,10000,2,19,10.545,1,Timeout limit was reached,9.730
old,sa,AGGREGATE,10000,2,20,9.841,1,Timeout limit was reached,9.730
old,sa,AGGREGATE,10000,2,21,10.098,1,Timeout limit was reached,9.730
old,sa,AGGREGATE,10000,2,22,9.851,1,Timeout limit was reached,9.730
old,sa,AGGREGATE,10000,2,23,10.569,1,Timeout limit was reached,9.730
old,sa,AGGREGATE,10000,2,24,9.837,1,Timeout limit was reached,9.730
old,sa,AGGREGATE,10000,2,25,10.061,1,Timeout limit was reached,9.730
old,sa,AGGREGATE,10000,2,26,9.881,1,Timeout limit was reached,9.730
old,sa,AGGREGATE,10000,2,27,10.357,1,Timeout limit was reached,9.730
old,sa,AGGREGATE,10000,2,28,9.783,1,Timeout limit was reached,9.730
old,sa,AGGREGATE,10000,2,29,10.094,1,Timeout limit was reached,9.730
old,sa,AGGREGATE,10000,2,30,9.697,1,Timeout limit was reached,9.730
old,sa,AGGREGATE,10000,2,31,10.327,1,Timeout limit was reached,9.730
old,sa,AGGREGATE,10000,2,32,9.618,1,Timeout limit was reached,9.730
old,sa,AGGREGATE,10000,2,33,9.950,1,Timeout limit was reached,9.730
old,sa,AGGREGATE,10000,2,34,9.724,1,Timeout limit was reached,9.730
old,sa,AGGREGATE,10000,2,35,10.267,1,Timeout limit was reached,9.730
old,sa,AGGREGATE,10000,2,36,9.706,1,Timeout limit was reached,9.730
old,sa,AGGREGATE,10000,2,37,10.009,1,Timeout limit was reached,9.730
old,sa,AGGREGATE,10000,2,38,9.920,1,Timeout limit was reached,9.730
old,sa,AGGREGATE,10000,2,39,10.504,1,Timeout limit was reached,9.730
old,sa,AGGREGATE,10000,2,40,9.793,1,Timeout limit was reached,9.730
old,sa,AGGREGATE,10000,2,41,10.018,1,Timeout limit was reached,9.730
old,sa,AGGREGATE,10000,2,42,9.848,1,Timeout limit was reached,9.730
old,sa,AGGREGATE,10000,2,43,10.577,1,Timeout limit was reached,9.730
old,sa,AGGREGATE,10000,2,44,9.842,1,Timeout limit was reached,9.730
old,sa,AGGREGATE,10000,2,45,10.104,1,Timeout limit was reached,9.730
old,sa,AGGREGATE,10000,2,46,9.743,1,Timeout limit was reached,9.730
old,sa,AGGREGATE,10000,2,47,10.486,1,Timeout limit was reached,9.730
old,sa,AGGREGATE,10000,2,48,9.881,1,Timeout limit was reached,9.730
old,sa,AGGREGATE,10000,2,49,10.092,1,Timeout limit was reached,9.730
old,sa,AGGREGATE,10000,5,0,9.795,1,Timeout limit was reached,9.651
old,sa,AGGREGATE,10000,5,1,10.566,1,Timeout limit was reached,9.651
old,sa,AGGREGATE,10000,5,2,9.872,1,Timeout limit was reached,9.651
old,sa,AGGREGATE,10000,5,3,10.195,1,Timeout limit was reached,9.651
old,sa,AGGREGATE,10000,5,4,9.791,1,Timeout limit was reached,9.651
old,sa,AGGREGATE,10000,5,5,10.461,1,Timeout limit was reached,9.651
old,sa,AGGREGATE,10000,5,6,9.707,1,Timeout limit was reached,9.651
old,sa,AGGREGATE,10000,5,7,9.907,1,Timeout limit was reached,9.651
old,sa,AGGREGATE,10000,5,8,9.742,1,Timeout limit was reached,9.651
old,sa,AGGREGATE,10000,5,9,10.258,1,Timeout limit was reached,9.651
old,sa,AGGREGATE,10000,5,10,9.517,1,Timeout limit was reached,9.651
old,sa,AGGREGATE,10000,5,11,9.675,1,Timeout limit was reached,9.651
old,sa,AGGREGATE,10000,5,12,9.614,1,Timeout limit was reached,9.651
old,sa,AGGREGATE,10000,5,13,10.373,1,Timeout limit was reached,9.651
old,sa,AGGREGATE,10000,5,14,9.610,1,Timeout limit was reached,9.651
old,sa,AGGREGATE,10000,5,15,9.799,1,Timeout limit was reached,9.651
old,sa,AGGREGATE,10000,5,16,9.610,1,Timeout limit was reached,9.651
