version,topology,query_type,index_size,timeout_ms,n,timeout_frac,observed_mean_ms,observed_p50_ms,observed_p95_ms,observed_p99_ms,observed_max_ms,overshoot_mean_ms,overshoot_p50_ms,overshoot_p95_ms,overshoot_p99_ms,overshoot_max_ms
new,sa,HYBRID,100000,100,50,0.000,5.60,5.61,5.85,5.94,5.94,0.00,0.00,0.00,0.00,0.00
new,sa,HYBRID,100000,1000,50,0.000,5.69,5.66,5.92,6.17,6.17,0.00,0.00,0.00,0.00,0.00
new,sa,HYBRID,100000,2000,50,0.000,5.90,5.73,6.36,11.97,11.97,0.00,0.00,0.00,0.00,0.00
new,sa,HYBRID,100000,50,50,0.000,6.30,5.85,10.98,13.35,13.35,0.00,0.00,0.00,0.00,0.00
new,sa,HYBRID,100000,500,50,0.000,5.89,5.85,6.32,6.60,6.60,0.00,0.00,0.00,0.00,0.00
new,sa,HYBRID,1000000,100,50,0.160,106.84,105.97,119.94,131.68,131.68,6.84,5.97,19.94,31.68,31.68
new,sa,HYBRID,1000000,1000,50,0.000,108.89,109.86,112.03,112.12,112.12,0.00,0.00,0.00,0.00,0.00
new,sa,HYBRID,1000000,2000,50,0.000,108.79,109.56,110.85,111.59,111.59,0.00,0.00,0.00,0.00,0.00
new,sa,HYBRID,1000000,50,50,1.000,100.79,100.83,101.23,101.37,101.37,50.79,50.83,51.23,51.37,51.37
new,sa,HYBRID,1000000,500,50,0.000,106.50,105.41,111.52,112.35,112.35,0.00,0.00,0.00,0.00,0.00
new,sa,SEARCH,100000,100,50,0.000,118.89,118.94,125.78,136.81,136.81,18.89,18.94,25.78,36.81,36.81
new,sa,SEARCH,100000,1000,50,0.000,114.37,113.61,120.07,126.06,126.06,0.00,0.00,0.00,0.00,0.00
new,sa,SEARCH,100000,2000,50,0.000,118.11,118.19,124.72,126.86,126.86,0.00,0.00,0.00,0.00,0.00
new,sa,SEARCH,100000,50,50,0.000,122.78,121.71,130.89,133.56,133.56,72.78,71.71,80.89,83.56,83.56
new,sa,SEARCH,100000,500,50,0.000,116.09,113.11,123.03,185.38,185.38,0.00,0.00,0.00,0.00,0.00
new,sa,SEARCH,1000000,100,50,1.000,101.53,101.37,102.59,102.71,102.71,1.53,1.37,2.59,2.71,2.71
new,sa,SEARCH,1000000,1000,50,0.000,221.15,221.29,228.16,228.95,228.95,0.00,0.00,0.00,0.00,0.00
new,sa,SEARCH,1000000,2000,50,0.000,222.92,221.97,229.90,230.96,230.96,0.00,0.00,0.00,0.00,0.00
new,sa,SEARCH,1000000,50,50,1.000,51.17,51.12,51.86,52.14,52.14,1.17,1.12,1.86,2.14,2.14
new,sa,SEARCH,1000000,500,50,0.000,223.92,222.46,231.79,232.19,232.19,0.00,0.00,0.00,0.00,0.00
old,cluster3,AGGREGATE,100000,100,50,1.000,112.47,112.31,114.32,115.03,115.03,12.47,12.31,14.32,15.03,15.03
old,cluster3,AGGREGATE,100000,1000,50,0.000,608.02,607.64,621.25,624.67,624.67,0.00,0.00,0.00,0.00,0.00
old,cluster3,AGGREGATE,100000,2000,50,0.000,608.02,608.59,621.05,625.27,625.27,0.00,0.00,0.00,0.00,0.00
old,cluster3,AGGREGATE,100000,50,50,1.000,57.32,57.31,58.82,59.16,59.16,7.32,7.31,8.82,9.16,9.16
old,cluster3,AGGREGATE,100000,500,50,0.000,607.04,606.96,619.97,621.90,621.90,107.04,106.96,119.97,121.90,121.90
old,cluster3,AGGREGATE,1000000,100,50,1.000,112.15,112.09,113.34,113.62,113.62,12.15,12.09,13.34,13.62,13.62
old,cluster3,AGGREGATE,1000000,1000,50,1.000,1105.95,1106.12,1110.79,1111.47,1111.47,105.95,106.12,110.79,111.47,111.47
old,cluster3,AGGREGATE,1000000,2000,50,0.000,6521.64,6515.17,6640.05,6658.32,6658.32,4521.64,4515.17,4640.05,4658.32,4658.32
old,cluster3,AGGREGATE,1000000,50,50,1.000,57.03,57.01,58.03,58.82,58.82,7.03,7.01,8.03,8.82,8.82
old,cluster3,AGGREGATE,1000000,500,50,1.000,552.61,552.54,555.48,556.37,556.37,52.61,52.54,55.48,56.37,56.37
old,cluster3,HYBRID,100000,100,50,0.000,4.21,4.17,4.75,5.34,5.34,0.00,0.00,0.00,0.00,0.00
old,cluster3,HYBRID,100000,1000,50,0.000,4.21,4.15,5.07,5.56,5.56,0.00,0.00,0.00,0.00,0.00
old,cluster3,HYBRID,100000,2000,50,0.000,4.04,4.01,4.63,4.74,4.74,0.00,0.00,0.00,0.00,0.00
old,cluster3,HYBRID,100000,50,50,0.000,4.49,4.21,6.68,9.76,9.76,0.00,0.00,0.00,0.00,0.00
old,cluster3,HYBRID,100000,500,50,0.000,4.19,4.16,4.70,4.83,4.83,0.00,0.00,0.00,0.00,0.00
old,cluster3,HYBRID,1000000,100,50,0.000,50.21,46.36,58.05,60.81,60.81,0.00,0.00,0.00,0.00,0.00
old,cluster3,HYBRID,1000000,1000,50,0.000,49.32,45.79,58.72,59.73,59.73,0.00,0.00,0.00,0.00,0.00
old,cluster3,HYBRID,1000000,2000,50,0.000,49.13,45.89,55.50,60.09,60.09,0.00,0.00,0.00,0.00,0.00
